
dc ago 13 13:27:56 CEST 2014
===============================================
POS	Total	Clean	With @	With #	Clean %
v	47340	47280	0	60	99.87
adj	25122	25055	0	67	99.73
n	12512	12512	0	0	100
prn	817	817	0	0	100
post	456	432	0	24	94.73
cnjcoo	102	102	0	0	100
adv	5	5	0	0	100
vaux	0	0	0	0	100
num	0	0	0	0	100
np	0	0	0	0	100
ij	0	0	0	0	100
guio	0	0	0	0	100
det	0	0	0	0	100
cnjsub	0	0	0	0	100
cm	0	0	0	0	100
===============================================
